"species","lng","lat"
"Alaria esculenta",-5.541031,54.65594
"Alaria esculenta",-5.540325,54.6562
"Alaria esculenta",-5.540325,54.65621
"Alaria esculenta",-5.540998,54.65592
"Alaria esculenta",-5.858134,54.12655
"Alaria esculenta",-6.928995,52.123354
"Alaria esculenta",-9.950858,53.304567
"Alaria esculenta",-7.374,55.315
"Alaria esculenta",-10.195753,52.221793
"Alaria esculenta",-7.929001,55.181167
"Alaria esculenta",-10.133329,53.689611
"Alaria esculenta",-8.460082,54.568254
"Alaria esculenta",-9.67,52.692
"Alaria esculenta",-6.98018,52.058061
"Alaria esculenta",-8.930573,54.664546
"Alaria esculenta",-7.388965,55.381086
"Alaria esculenta",-10.202071,53.875777
"Alaria esculenta",-8.29059,51.792504
"Alaria esculenta",-10.037,51.588
"Alaria esculenta",-6.22,53.797
"Alaria esculenta",-9.009173,51.518898
"Alaria esculenta",-6.927992,52.122748
"Alaria esculenta",-6.928168,52.122749
"Alaria esculenta",-7.929016,55.181167
"Alaria esculenta",-7.798662,55.219169
"Alaria esculenta",-10.136389,53.689718
"Alaria esculenta",-8.018336,55.211662
"Alaria esculenta",-8.509665,55.007833
"Alaria esculenta",-8.365849,55.102766
"Alaria esculenta",-9.073708,54.214169
"Alaria esculenta",-9.635,54.327
"Alaria esculenta",-10.204,54.156
"Alaria esculenta",-7.708772,51.942916
"Alaria esculenta",-6.071,52.864
"Alaria esculenta",-6.387,52.151
"Alaria esculenta",-9.439677,51.47709
"Alaria esculenta",-9.411115,51.46206
"Alaria esculenta",-7.61941422,55.25668406
"Alaria esculenta",-6.62010072,52.10986667
"Alaria esculenta",-7.64341992,55.27699511
"Alaria esculenta",-7.80156527,55.29953408
"Alaria esculenta",-10.03777974,51.5888648
"Alaria esculenta",-9.76289036,53.12407122
"Alaria esculenta",-6.38153725,52.17603242
"Alaria esculenta",-10.20563748,54.15700665
"Alaria esculenta",-9.8272391,51.55425483
"Alaria esculenta",-8.66630852,54.42831306
"Alaria esculenta",-6.61074078,52.12535016
"Alaria esculenta",-8.66574398,54.36511699
"Alaria esculenta",-8.60569097,54.38013919
"Alaria esculenta",-8.44993415,54.47279204
"Alaria esculenta",-7.76253254,55.24701891
"Alaria esculenta",-7.76253254,55.24701891
"Alaria esculenta",-6.38865555,52.15174507
"Alaria esculenta",-8.60569097,54.38013919
"Alaria esculenta",-8.60569097,54.38013919
"Alaria esculenta",-7.88017705,51.87840334
"Alaria esculenta",-8.28660616,54.60208502
"Alaria esculenta",-10.07256979,54.23611104
"Alaria esculenta",-9.8272391,51.55425483
"Alaria esculenta",-10.33655944,52.13162289
"Alaria esculenta",-9.29531216,53.13901967
"Alaria esculenta",-8.21188624,55.15366991
"Alaria esculenta",-9.45734414,52.85778901
"Alaria esculenta",-10.26533321,51.72554945
"Alaria esculenta",-10.06741293,52.31694192
"Alaria esculenta",-10.06741293,52.31694192
"Alaria esculenta",-6.22177063,53.79762815
"Alaria esculenta",-7.88017705,51.87840334
"Alaria esculenta",-10.33655944,52.13162289
"Alaria esculenta",-8.94597943,54.29817255
"Alaria esculenta",-8.21188624,55.15366991
"Alaria esculenta",-9.09008539,54.23434278
"Alaria esculenta",-10.34292863,51.94880578
"Alaria esculenta",-8.29641466,55.12932637
"Alaria esculenta",-9.29531216,53.13901967
"Alaria esculenta",-8.84011876,54.66059392
"Alaria esculenta",-9.05906339,54.28572206
"Alaria esculenta",-9.82788149,52.57838129
"Alaria esculenta",-9.82788149,52.57838129
"Alaria esculenta",-9.49569102,52.79643077
"Alaria esculenta",-9.91985679,51.79843229
"Alaria esculenta",-9.63620267,54.32779838
"Alaria esculenta",-6.10411138,53.2700206
"Alaria esculenta",-8.7401238,54.27423139
"Alaria esculenta",-10.26533321,51.72554945
"Alaria esculenta",-7.37565488,55.31503227
"Alaria esculenta",-9.54728516,53.24046786
"Alaria esculenta",-7.37565488,55.31503227
"Alaria esculenta",-9.35580239,54.31980557
"Alaria esculenta",-10.12308319,53.97185749
"Alaria esculenta",-6.07539096,53.52107035
"Alaria esculenta",-9.09008539,54.23434278
"Alaria esculenta",-9.67114397,52.69323432
"Alaria esculenta",-6.94702678,52.12563909
"Alaria esculenta",-10.27561558,53.9720219
"Alaria esculenta",-9.67114397,52.69323432
"Alaria esculenta",-10.34292863,51.94880578
"Alaria esculenta",-9.73085682,52.65283367
"Alaria esculenta",-8.96989403,51.55357411
"Alaria esculenta",-10.24643011,53.97602519
"Alaria esculenta",-6.07220387,52.86425584
"Alaria esculenta",-9.826605,51.555
"Alaria esculenta",-9.826605,51.555
"Alaria esculenta",-10.03695,51.58965
"Alaria esculenta",-7.80161,55.29877
"Alaria esculenta",-7.762566,55.24625
"Alaria esculenta",-7.762566,55.24625
"Alaria esculenta",-7.643428,55.27704
"Alaria esculenta",-7.619399,55.25595
