Sheet,ID,Species,Location,latitude,longitude,biomass,size,source,Institution
JNCC80s-2015,,Alaria esculenta,,54.65594,-5.541031,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Alaria esculenta,,54.6562,-5.540325,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Alaria esculenta,,54.65621,-5.540325,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Alaria esculenta,,54.65592,-5.540998,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Alaria esculenta,,54.12655,-5.858134,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
Assis et al,,Alaria esculenta,,52.123354,-6.928995,,,"Krumhansl, K., Okamoto, D., Rassweiler, A., Novak, M., Bolton, J., Cavanaugh, K., Connell, S., Johnson, C., Konar, B., Ling, S., Micheli, F., Norderhaug, K., Pérez-matus, A., Sousa-pinto, I., Reed, D., Salomon, A., Shears, N., Wernberg, T., Anderson, R., Barrett, N., Buschmann, A., Carr, M., Caselle, J., Derrien-courtel, S., Edgar, G., Edwards, M., Estes, J., Goodwin, C., Kenner, M., Kushner, D., Moy, F., Nunn, J., Steneck, R., Vásquez, J., Watson, J., Witman, J. & Byrnes, J. Global Patterns Of Kelp Forest Change Over The Past Half-century. Proc. Natl. Acad. Sci. U. S. A., 113: 48, 13785-13790 (2016)",
Assis et al,,Alaria esculenta,,53.304567,-9.950858,,,"Assis, J., Araújo, M. & Serrão, E. Projected Climate Changes Threaten Ancient Refugia Of Kelp Forests In The North Atlantic. Glob. Chang. Biol., 24: 1, e55-e66 (2017)",
Assis et al,,Alaria esculenta,,55.315,-7.374,,,"Assis, J., Araújo, M. & Serrão, E. Projected Climate Changes Threaten Ancient Refugia Of Kelp Forests In The North Atlantic. Glob. Chang. Biol., 24: 1, e55-e66 (2017)",
Assis et al,,Alaria esculenta,,52.221793,-10.195753,,,"Assis, J., Araújo, M. & Serrão, E. Projected Climate Changes Threaten Ancient Refugia Of Kelp Forests In The North Atlantic. Glob. Chang. Biol., 24: 1, e55-e66 (2017)",
Assis et al,,Alaria esculenta,,55.181167,-7.929001,,,"Krumhansl, K., Okamoto, D., Rassweiler, A., Novak, M., Bolton, J., Cavanaugh, K., Connell, S., Johnson, C., Konar, B., Ling, S., Micheli, F., Norderhaug, K., Pérez-matus, A., Sousa-pinto, I., Reed, D., Salomon, A., Shears, N., Wernberg, T., Anderson, R., Barrett, N., Buschmann, A., Carr, M., Caselle, J., Derrien-courtel, S., Edgar, G., Edwards, M., Estes, J., Goodwin, C., Kenner, M., Kushner, D., Moy, F., Nunn, J., Steneck, R., Vásquez, J., Watson, J., Witman, J. & Byrnes, J. Global Patterns Of Kelp Forest Change Over The Past Half-century. Proc. Natl. Acad. Sci. U. S. A., 113: 48, 13785-13790 (2016)",
