Sheet,ID,Species,Location,latitude,longitude,biomass,size,source,Institution
JNCC70s,,Laminaria digitata,,51.47709,-9.439677,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8015,JNCC
JNCC70s,,Laminaria digitata,,51.49014,-9.398809,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8015,JNCC
JNCC70s,,Laminaria digitata,,51.50038,-9.468605,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8015,JNCC
JNCC70s,,Laminaria digitata,,51.48239,-9.424384,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8015,JNCC
JNCC90s,,Laminaria digitata,Great Pollet Arch (Lough Swilly),55.25668406,-7.61941422,,,,JNCC
JNCC90s,,Laminaria digitata,SE of Carricknaroun (Mullet peninsula),54.23611104,-10.07256979,,,,JNCC
JNCC90s,,Laminaria digitata,"Portnagarribane, Fanad (Lough Swilly)",55.27699511,-7.64341992,,,,JNCC
JNCC90s,,Laminaria digitata,Glasscarrig Point (Kilmichael Point to Cahore Point),52.58372465,-6.21463225,,,,JNCC
JNCC90s,,Laminaria digitata,W side of Barloge Creek (Lough Hyne),51.49225212,-9.2981373,,,,JNCC
JNCC90s,,Laminaria digitata,Back Lough Narrows (Mulroy Bay),55.16599409,-7.72658735,,,,JNCC
JNCC90s,,Laminaria digitata,W of Carnsore Point (Carnsore Point to Forlorn Point),52.17603242,-6.38153725,,,,JNCC
JNCC90s,,Laminaria digitata,W of Audley Cove (Roaringwater Bay),51.5279244,-9.45204926,,,,JNCC
JNCC90s,,Laminaria digitata,Murles Point (N Donegal Bay),54.60208502,-8.28660616,,,,JNCC
JNCC90s,,Laminaria digitata,Murles Point (N Donegal Bay),54.60208502,-8.28660616,,,,JNCC
JNCC90s,,Laminaria digitata,N of Annagh Head (Mullet peninsula),54.24345037,-10.09741433,,,,JNCC
JNCC90s,,Laminaria digitata,Glasscarrig Point (Kilmichael Point to Cahore Point),52.58372465,-6.21463225,,,,JNCC
JNCC90s,,Laminaria digitata,"Blue Lough Bay, Ballyconnell Point (S Donegal Bay)",54.36511699,-8.66574398,,,,JNCC
JNCC90s,,Laminaria digitata,Glasscarrig Point (Kilmichael Point to Cahore Point),52.58372465,-6.21463225,,,,JNCC
JNCC90s,,Laminaria digitata,"Lislary Point, Cloonagh Bay (S Donegal Bay)",54.38013919,-8.60569097,,,,JNCC
JNCC90s,,Laminaria digitata,"S of South Island, Inishmore (Aran Islands)",53.13910294,-9.84521217,,,,JNCC
JNCC90s,,Laminaria digitata,"Mark's Point, Broadwater (Mulroy Bay)",55.16922394,-7.70959619,,,,JNCC
JNCC90s,,Laminaria digitata,W of Ballyhoorisky Island (Mulroy Bay),55.24701891,-7.76253254,,,,JNCC
JNCC90s,,Laminaria digitata,W of Ballyhoorisky Island (Mulroy Bay),55.24701891,-7.76253254,,,,JNCC
JNCC90s,,Laminaria digitata,NE of Carnsore Point (Greenore Point to Carnsore Point),52.17587389,-6.37127762,,,,JNCC
JNCC90s,,Laminaria digitata,"Centre of East Entrance, Berehaven (Bantry Bay)",51.64677397,-9.76012265,,,,JNCC
JNCC90s,,Laminaria digitata,Cahore Point (Kilmichael Point to Cahore Point),52.56367851,-6.19395886,,,,JNCC
JNCC90s,,Laminaria digitata,Ballyhoorisky Point (Mulroy Bay),55.25697807,-7.75751632,,,,JNCC
JNCC90s,,Laminaria digitata,"E of Doonbeg Head, Bere Island (Bantry Bay)",51.61056184,-9.88227972,,,,JNCC
JNCC90s,,Laminaria digitata,W of Mulroa Point (Kilkieran Bay),53.28829169,-9.84214993,,,,JNCC
JNCC90s,,Laminaria digitata,S of Knockadoan Head (Ballycotton Bay),51.87840334,-7.88017705,,,,JNCC
JNCC90s,,Laminaria digitata,Murles Point (N Donegal Bay),54.60208502,-8.28660616,,,,JNCC
JNCC90s,,Laminaria digitata,W of Mulroa Point (Kilkieran Bay),53.28829169,-9.84214993,,,,JNCC
JNCC90s,,Laminaria digitata,SE of Carricknaroun (Mullet peninsula),54.23611104,-10.07256979,,,,JNCC
JNCC90s,,Laminaria digitata,NE of Foilnadeal (Bantry Bay),51.55425483,-9.8272391,,,,JNCC
JNCC90s,,Laminaria digitata,E side of the Rapids (Lough Hyne),51.50007418,-9.29694023,,,,JNCC
JNCC90s,,Laminaria digitata,N of Gubacashel (Broadhaven),54.27083624,-9.88822,,,,JNCC
JNCC90s,,Laminaria digitata,NE Toormore Bay (Long Island Bay),51.51262626,-9.64663195,,,,JNCC
JNCC90s,,Laminaria digitata,NE of Shoal Rock (Saltee Islands),52.10642885,-6.61828346,,,,JNCC
JNCC90s,,Laminaria digitata,"Rough Point (Magharee Islands, Tralee Bay)",52.32660686,-10.02240327,,,,JNCC
JNCC90s,,Laminaria digitata,"Coosanea, S (Magharee Islands, Brandon Bay)",52.31605265,-10.06592646,,,,JNCC
JNCC90s,,Laminaria digitata,"Duggerna Rock, Kilkee (Moore Bay)",52.69323432,-9.67114397,,,,JNCC
JNCC90s,,Laminaria digitata,S of Ballymore Point (Ventry),52.13162289,-10.33655944,,,,JNCC
JNCC90s,,Laminaria digitata,"S of Fanore Point, Black Head (Galway Bay, Southern coast)",53.13901967,-9.29531216,,,,JNCC
JNCC90s,,Laminaria digitata,Brinlack Port (Bloody Foreland),55.12932637,-8.29641466,,,,JNCC
JNCC90s,,Laminaria digitata,"S of Fanore Point, Black Head (Galway Bay, Southern coast)",53.13901967,-9.29531216,,,,JNCC
JNCC90s,,Laminaria digitata,"Carrickalegaun Bridge (Lettermore Island, Kilkieran Bay)",53.29391841,-9.65814497,,,,JNCC
JNCC90s,,Laminaria digitata,"Meenclady Bay, W Inishboffin Bay (Bloody Foreland)",55.15366991,-8.21188624,,,,JNCC
JNCC90s,,Laminaria digitata,Spanish Point (Mal Bay),52.85778901,-9.45734414,,,,JNCC
JNCC90s,,Laminaria digitata,Finavarra Point (Galway Bay),53.1564615,-9.14208858,,,,JNCC
JNCC90s,,Laminaria digitata,Bunlough Point (Killary Harbour to Roonah Point),53.69820805,-9.91999583,,,,JNCC
JNCC90s,,Laminaria digitata,"Belacoon cove, S (Galley Head, Glandore Bay)",51.55357411,-8.96989403,,,,JNCC
JNCC90s,,Laminaria digitata,"Coosanea, N (Magharee Islands, Brandon Bay)",52.31694192,-10.06741293,,,,JNCC
JNCC90s,,Laminaria digitata,"Coosanea, N (Magharee Islands, Brandon Bay)",52.31694192,-10.06741293,,,,JNCC
JNCC90s,,Laminaria digitata,Kilmore Point (Mouth of the Shannon),52.49104801,-9.71615684,,,,JNCC
JNCC90s,,Laminaria digitata,"Carrigaroad, Gerahies (Bantry Bay)",51.65525886,-9.60383018,,,,JNCC
JNCC90s,,Laminaria digitata,S. Dawros Bay (Loughros More Bay),54.81847244,-8.52946195,,,,JNCC
JNCC90s,,Laminaria digitata,Hook Head,52.12563909,-6.94702678,,,,JNCC
JNCC90s,,Laminaria digitata,South of Ballylaan (Liscannor Bay),52.93047642,-9.46087886,,,,JNCC
JNCC90s,,Laminaria digitata,Skerry SW of Garinish Island (Carrigavunig) (Sneem Harbour),51.79843229,-9.91985679,,,,JNCC
JNCC90s,,Laminaria digitata,Clogher Head,53.79762815,-6.22177063,,,,JNCC
JNCC90s,,Laminaria digitata,Spanish Point (Mal Bay),52.85778901,-9.45734414,,,,JNCC
JNCC90s,,Laminaria digitata,S of Knockadoan Head (Ballycotton Bay),51.87840334,-7.88017705,,,,JNCC
JNCC90s,,Laminaria digitata,"Belacoon cove, S (Galley Head, Glandore Bay)",51.55357411,-8.96989403,,,,JNCC
JNCC90s,,Laminaria digitata,E of Canower Point (Bertraghboy Bay (N coast)),53.40149494,-9.861271,,,,JNCC
JNCC90s,,Laminaria digitata,S of Ballymore Point (Ventry),52.13162289,-10.33655944,,,,JNCC
JNCC90s,,Laminaria digitata,"Duggerna Rock, Kilkee (Moore Bay)",52.69323432,-9.67114397,,,,JNCC
JNCC90s,,Laminaria digitata,W side of Dooagh Beach (Achill Island),53.97269548,-10.13196559,,,,JNCC
JNCC90s,,Laminaria digitata,Kilmore Point (Mouth of the Shannon),52.49104801,-9.71615684,,,,JNCC
JNCC90s,,Laminaria digitata,N of Ballynacourty Point (Dungarvan Harbour (NE)),52.08905944,-7.56026236,,,,JNCC
JNCC90s,,Laminaria digitata,N of Ballynacourty Point (Dungarvan Harbour (NE)),52.08905944,-7.56026236,,,,JNCC
JNCC90s,,Laminaria digitata,Oyster beds of Aughinish Bay (Inner Galway Bay),53.1615771,-9.04910062,,,,JNCC
JNCC90s,,Laminaria digitata,S of Nedanone (Outer Kenmare River),51.77037592,-10.02066084,,,,JNCC
JNCC90s,,Laminaria digitata,"Pollnagat, Easky (Sligo Bay)",54.29817255,-8.94597943,,,,JNCC
