Sheet,ID,Species,Location,latitude,longitude,biomass,size,source,Institution
JNCC70s,,Laminaria hyperborea,,51.47459,-9.426573,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8015,JNCC
JNCC70s,,Laminaria hyperborea,,51.47824,-9.466843,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8015,JNCC
JNCC70s,,Laminaria hyperborea,,51.46824,-9.433036,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8015,JNCC
JNCC70s,,Laminaria hyperborea,,51.47962,-9.439657,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8015,JNCC
JNCC70s,,Laminaria hyperborea,,51.46157,-9.440166,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8015,JNCC
JNCC70s,,Laminaria hyperborea,,51.47709,-9.439677,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8015,JNCC
JNCC70s,,Laminaria hyperborea,,51.46931,-9.434653,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8015,JNCC
JNCC70s,,Laminaria hyperborea,,51.45963,-9.45355,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8015,JNCC
JNCC70s,,Laminaria hyperborea,,51.47268,-9.52248,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8015,JNCC
JNCC70s,,Laminaria hyperborea,,51.46206,-9.411115,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8015,JNCC
JNCC70s,,Laminaria hyperborea,,51.47153,-9.515221,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8015,JNCC
JNCC70s,,Laminaria hyperborea,,51.45268,-9.442463,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8015,JNCC
JNCC70s,,Laminaria hyperborea,,51.42816,-9.491922,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8015,JNCC
JNCC70s,,Laminaria hyperborea,,51.45489,-9.453061,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8015,JNCC
JNCC70s,,Laminaria hyperborea,,51.49486,-9.408236,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8015,JNCC
JNCC70s,,Laminaria hyperborea,,51.45269,-9.419682,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8015,JNCC
JNCC70s,,Laminaria hyperborea,,51.47599,-9.459694,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8015,JNCC
JNCC70s,,Laminaria hyperborea,,51.43598,-9.479659,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8015,JNCC
JNCC70s,,Laminaria hyperborea,,51.48239,-9.424384,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8015,JNCC
JNCC70s,,Laminaria hyperborea,,51.50038,-9.468605,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8015,JNCC
JNCC70s,,Laminaria hyperborea,,51.49844,-9.497443,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8015,JNCC
JNCC70s,,Laminaria hyperborea,,51.4715,-9.444098,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8015,JNCC
JNCC90s,,Laminaria hyperborea,E of Melmore Head (Mulroy Bay),55.25602135,-7.78716539,,,,JNCC
JNCC90s,,Laminaria hyperborea,E of Rusheey Island (Inishkea Islands),54.11769895,-10.19766422,,,,JNCC
JNCC90s,,Laminaria hyperborea,"Walter Scott Rock, Berehaven (Bantry Bay)",51.64269736,-9.90410792,,,,JNCC
JNCC90s,,Laminaria hyperborea,"W of Kinvally Point, Inishmurray (S Donegal Bay)",54.43116172,-8.67990648,,,,JNCC
JNCC90s,,Laminaria hyperborea,"SE of Knife Rock, Benwee Head (Broadhaven)",54.33531629,-9.84247108,,,,JNCC
JNCC90s,,Laminaria hyperborea,SW of Forlorn Rock (Saltee Islands),52.15717503,-6.62061804,,,,JNCC
JNCC90s,,Laminaria hyperborea,Inside of Seven Heads Rocks (Saltee Islands),52.10986667,-6.62010072,,,,JNCC
JNCC90s,,Laminaria hyperborea,"Portnagarribane, Fanad (Lough Swilly)",55.27699511,-7.64341992,,,,JNCC
JNCC90s,,Laminaria hyperborea,W of Melmore Head (Mulroy Bay),55.25652797,-7.78976104,,,,JNCC
JNCC90s,,Laminaria hyperborea,N Ballycotton Bay (Ballycotton Bay),51.85638706,-7.97732975,,,,JNCC
JNCC90s,,Laminaria hyperborea,S side of Limeburner Rock (Mulroy Bay),55.29953408,-7.80156527,,,,JNCC
JNCC90s,,Laminaria hyperborea,"S of Foilenaboe Rocks, Berehaven (Bantry Bay)",51.63522886,-9.91192448,,,,JNCC
JNCC90s,,Laminaria hyperborea,Bullig Reef (Clear Island),51.45778009,-9.48944311,,,,JNCC
JNCC90s,,Laminaria hyperborea,Sewage Outfall Wicklow (Bray Head to Wicklow Head),52.98944529,-6.02823341,,,,JNCC
JNCC90s,,Laminaria hyperborea,E of Skerdmore (Skird Rocks),53.25745002,-10.00017991,,,,JNCC
JNCC90s,,Laminaria hyperborea,Saltee Sound (Saltee Islands),52.12523824,-6.5928943,,,,JNCC
JNCC90s,,Laminaria hyperborea,NE of Foilnadeal (Bantry Bay),51.55425483,-9.8272391,,,,JNCC
JNCC90s,,Laminaria hyperborea,S of Black Ball Head (Bantry Bay),51.5888648,-10.03777974,,,,JNCC
JNCC90s,,Laminaria hyperborea,N of Tirloughan Bay (Mulroy Bay),55.18798854,-7.77160307,,,,JNCC
JNCC90s,,Laminaria hyperborea,"W of Blind Sound, Inishmore (Aran Islands)",53.12407122,-9.76289036,,,,JNCC
JNCC90s,,Laminaria hyperborea,"S Spanish Island, Baltimore Harbour (Baltimore)",51.4914352,-9.39974098,,,,JNCC
JNCC90s,,Laminaria hyperborea,NW of Goose Rock (Saltee Islands),52.13557559,-6.5977612,,,,JNCC
JNCC90s,,Laminaria hyperborea,W of Duveel Point (Broadhaven),54.27580799,-9.92491802,,,,JNCC
JNCC90s,,Laminaria hyperborea,Limeburner Rock (Mulroy Bay),55.29931049,-7.80247924,,,,JNCC
JNCC90s,,Laminaria hyperborea,N Ballycotton Bay (Ballycotton Bay),51.85638706,-7.97732975,,,,JNCC
JNCC90s,,Laminaria hyperborea,Ellaghua (S Donegal Bay),54.52557986,-8.28254255,,,,JNCC
JNCC90s,,Laminaria hyperborea,S of Fundale Rock (Greenore Point to Carnsore Point),52.18139214,-6.34371838,,,,JNCC
JNCC90s,,Laminaria hyperborea,N Ballycotton Bay (Ballycotton Bay),51.85638706,-7.97732975,,,,JNCC
JNCC90s,,Laminaria hyperborea,Glasscarrig Point (Kilmichael Point to Cahore Point),52.58372465,-6.21463225,,,,JNCC
JNCC90s,,Laminaria hyperborea,NE of North Harbour (Trawkieran) (Clear Island),51.44539547,-9.49850634,,,,JNCC
JNCC90s,,Laminaria hyperborea,Dundooan Rocks (Mulroy Bay),55.21882491,-7.7989117,,,,JNCC
JNCC90s,,Laminaria hyperborea,E of Inishkea channel (Inishkea Islands),54.12267903,-10.19604402,,,,JNCC
JNCC90s,,Laminaria hyperborea,E of Ballyglass (Broadhaven),54.25436404,-9.88921354,,,,JNCC
JNCC90s,,Laminaria hyperborea,N of Whitty Rock (Saltee Islands),52.12191866,-6.62938908,,,,JNCC
JNCC90s,,Laminaria hyperborea,N Ballycotton Bay (Ballycotton Bay),51.85638706,-7.97732975,,,,JNCC
JNCC90s,,Laminaria hyperborea,NW of Mullaghmore Head (S Donegal Bay),54.47424332,-8.4648555,,,,JNCC
JNCC90s,,Laminaria hyperborea,S shore of Tuskar Rock (Tuskar Rock),52.2022339,-6.20826031,,,,JNCC
JNCC90s,,Laminaria hyperborea,"N of Carrickamimeraughy, Inishmore (Aran Islands)",53.09529225,-9.63310082,,,,JNCC
JNCC90s,,Laminaria hyperborea,"Coosdanagan, NE of Black Ball Head (Bantry Bay)",51.59427895,-10.01935341,,,,JNCC
JNCC90s,,Laminaria hyperborea,N of Long Bohur (Saltee Islands),52.13507934,-6.55033515,,,,JNCC
JNCC90s,,Laminaria hyperborea,"Clashymore Harbour, Inishmurray (S Donegal Bay)",54.42831306,-8.66630852,,,,JNCC
JNCC90s,,Laminaria hyperborea,W of Sebber Bridge (Saltee Islands),52.12535016,-6.61074078,,,,JNCC
JNCC90s,,Laminaria hyperborea,Outer Claddaghanillian Bay (Mulroy Bay),55.24969429,-7.81413566,,,,JNCC
JNCC90s,,Laminaria hyperborea,E of Illaunbrock (Gascanane Sound),51.45309605,-9.43878145,,,,JNCC
JNCC90s,,Laminaria hyperborea,S of Gubastuckaun (Broadhaven),54.30046965,-9.98394908,,,,JNCC
JNCC90s,,Laminaria hyperborea,"Blue Lough Bay, Ballyconnell Point (S Donegal Bay)",54.36511699,-8.66574398,,,,JNCC
JNCC90s,,Laminaria hyperborea,Carrickalaveen (Inishkea Islands),54.09650776,-10.23181272,,,,JNCC
JNCC90s,,Laminaria hyperborea,E Kid Island (Broadhaven),54.3277972,-9.86231835,,,,JNCC
JNCC90s,,Laminaria hyperborea,NE of Terchen (Carnsore Point to Forlorn Point),52.16853177,-6.40172285,,,,JNCC
JNCC90s,,Laminaria hyperborea,"S of South Island, Inishmore (Aran Islands)",53.13910294,-9.84521217,,,,JNCC
JNCC90s,,Laminaria hyperborea,"E of Rooncarrigmore, Berehaven (Bantry Bay)",51.65376698,-9.74437579,,,,JNCC
JNCC90s,,Laminaria hyperborea,Centre of Ballycotton Bay (Ballycotton Bay),51.85922215,-7.98352308,,,,JNCC
JNCC90s,,Laminaria hyperborea,"N of Thumb Rock, Mullaghmore (S Donegal Bay)",54.47279204,-8.44993415,,,,JNCC
JNCC90s,,Laminaria hyperborea,"Thumb Rock, Mullaghmore (S Donegal Bay)",54.47192571,-8.44593121,,,,JNCC
JNCC90s,,Laminaria hyperborea,S Trawalua shoals (S Donegal Bay),54.44425002,-8.48839169,,,,JNCC
JNCC90s,,Laminaria hyperborea,Streedagh Point (S Donegal Bay),54.41599762,-8.57255912,,,,JNCC
JNCC90s,,Laminaria hyperborea,S of Rinroe Point (Broadhaven),54.29085711,-9.84136622,,,,JNCC
JNCC90s,,Laminaria hyperborea,SE of Slugga Rock (Broadhaven),54.30164845,-9.8651654,,,,JNCC
JNCC90s,,Laminaria hyperborea,E of Knox's Hole (Mulroy Bay),55.21297633,-7.80640286,,,,JNCC
JNCC90s,,Laminaria hyperborea,SE of Splaugh Rock (Greenore Point to Carnsore Point),52.23021126,-6.29310522,,,,JNCC
JNCC90s,,Laminaria hyperborea,"Naglas Point, Berehaven (Bantry Bay)",51.62224816,-9.91862794,,,,JNCC
JNCC90s,,Laminaria hyperborea,W of Shanagarry (Ballycotton Bay),51.85863125,-7.95799836,,,,JNCC
JNCC90s,,Laminaria hyperborea,"E of Bradoge, Mullaghmore Head (S Donegal Bay)",54.47474015,-8.45055122,,,,JNCC
JNCC90s,,Laminaria hyperborea,Barrels Rocks (Carnsore Point to Forlorn Point),52.15174507,-6.38865555,,,,JNCC
JNCC90s,,Laminaria hyperborea,"S of Lackaturlough Point, Inishmore (Aran Islands)",53.13277362,-9.81827302,,,,JNCC
JNCC90s,,Laminaria hyperborea,S of Cappel Island (Ballycotton Bay),51.87875242,-7.85520276,,,,JNCC
JNCC90s,,Laminaria hyperborea,W of Shanagarry (Ballycotton Bay),51.85863125,-7.95799836,,,,JNCC
JNCC90s,,Laminaria hyperborea,S of Mine Head (inner) (Youghal to Dungarvan),51.98951961,-7.59221201,,,,JNCC
JNCC90s,,Laminaria hyperborea,S of Carrigmore (Clear Island),51.4532727,-9.45294116,,,,JNCC
JNCC90s,,Laminaria hyperborea,N Ballycotton Bay (Ballycotton Bay),51.85638706,-7.97732975,,,,JNCC
JNCC90s,,Laminaria hyperborea,"NNE of Makeston Rocks, Great Saltee (Saltee Islands)",52.12103777,-6.60137827,,,,JNCC
JNCC90s,,Laminaria hyperborea,"N of Goat Island, Long Island Channel (Long Island Bay)",51.49029332,-9.5968338,,,,JNCC
JNCC90s,,Laminaria hyperborea,"S of Carthy's Island, Calf Islands (Roaringwater Bay)",51.49158884,-9.50728081,,,,JNCC
JNCC90s,,Laminaria hyperborea,S side of Anny Point (Lough Swilly),55.15572132,-7.55030831,,,,JNCC
JNCC90s,,Laminaria hyperborea,W of Shanagarry (Ballycotton Bay),51.85863125,-7.95799836,,,,JNCC
JNCC90s,,Laminaria hyperborea,ENE of Bomore (S Donegal Bay),54.46597059,-8.65962011,,,,JNCC
JNCC90s,,Laminaria hyperborea,E Whirlpool Cliff (Lough Hyne),51.50113569,-9.29581171,,,,JNCC
JNCC90s,,Laminaria hyperborea,"E of Doonbeg Head, Bere Island (Bantry Bay)",51.61056184,-9.88227972,,,,JNCC
JNCC90s,,Laminaria hyperborea,SW of Ram Head (Youghal Bay),51.94043614,-7.70682529,,,,JNCC
JNCC90s,,Laminaria hyperborea,"Lislary Point, Cloonagh Bay (S Donegal Bay)",54.38013919,-8.60569097,,,,JNCC
JNCC90s,,Laminaria hyperborea,Outer Millstone Bay (Mulroy Bay),55.19020609,-7.76091053,,,,JNCC
JNCC90s,,Laminaria hyperborea,S of Knockadoan Head (Ballycotton Bay),51.87840334,-7.88017705,,,,JNCC
JNCC90s,,Laminaria hyperborea,S of Pollshone Harbour (Kilmichael Point to Cahore Point),52.60382707,-6.20843777,,,,JNCC
JNCC90s,,Laminaria hyperborea,S of Doorin Point (N Donegal Bay),54.59893294,-8.2969766,,,,JNCC
JNCC90s,,Laminaria hyperborea,Limeburner Rock (Mulroy Bay),55.29931049,-7.80247924,,,,JNCC
JNCC90s,,Laminaria hyperborea,W of Glanrooncoosh (Bantry Bay),51.59376148,-9.7497286,,,,JNCC
JNCC90s,,Laminaria hyperborea,"Coosdanagan, NE of Black Ball Head (Bantry Bay)",51.59427895,-10.01935341,,,,JNCC
JNCC90s,,Laminaria hyperborea,"Brannock East Sound, Inishmore (Aran Islands)",53.14325187,-9.83427951,,,,JNCC
JNCC90s,,Laminaria hyperborea,S of East Brannock Island (Aran Islands),53.13645813,-9.82389246,,,,JNCC
JNCC90s,,Laminaria hyperborea,Black Bull Rock (S Donegal Bay),54.38159041,-8.64311576,,,,JNCC
JNCC90s,,Laminaria hyperborea,"Colt Rock, Berehaven (Bantry Bay)",51.63471265,-9.91820578,,,,JNCC
JNCC90s,,Laminaria hyperborea,S of Cappel Island (Ballycotton Bay),51.87875242,-7.85520276,,,,JNCC
JNCC90s,,Laminaria hyperborea,NE of Foilnadeal (Bantry Bay),51.55425483,-9.8272391,,,,JNCC
JNCC90s,,Laminaria hyperborea,"E of Doonbeg Head, Bere Island (Bantry Bay)",51.61056184,-9.88227972,,,,JNCC
JNCC90s,,Laminaria hyperborea,E of Skerdmore (Skird Rocks),53.25745002,-10.00017991,,,,JNCC
JNCC90s,,Laminaria hyperborea,W Gascanane Sound (Clear Island),51.45005954,-9.46092185,,,,JNCC
JNCC90s,,Laminaria hyperborea,"SW of Bulligmore, off Trawalua Strand (S Donegal Bay)",54.43662063,-8.53121788,,,,JNCC
JNCC90s,,Laminaria hyperborea,E of Bunduff Strand (S Donegal Bay),54.46426812,-8.41225398,,,,JNCC
JNCC90s,,Laminaria hyperborea,W entrance to Inishkea channel (Inishkea Islands),54.12731238,-10.2126258,,,,JNCC
JNCC90s,,Laminaria hyperborea,N of Ravedy Island (Mulroy Bay),55.253667,-7.78177897,,,,JNCC
JNCC90s,,Laminaria hyperborea,SW of Roskeeragh Point (S Donegal Bay),54.45207964,-8.49349923,,,,JNCC
JNCC90s,,Laminaria hyperborea,E of Ram Head (Youghal Bay),51.94322151,-7.70878204,,,,JNCC
JNCC90s,,Laminaria hyperborea,St Patricks Bridge (Saltee Islands),52.14943973,-6.57447287,,,,JNCC
