Sheet,ID,Species,Location,latitude,longitude,biomass,size,source,Institution
JNCC80s-2015,,Saccharina latissima,,54.38675,-5.592428,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Saccharina latissima,,54.39288,-5.579727,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Saccharina latissima,,54.38964,-5.56932,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Saccharina latissima,,54.37977,-5.569465,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Saccharina latissima,,54.38005,-5.566084,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Saccharina latissima,,54.38533,-5.56001,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Saccharina latissima,,54.378,-5.563458,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Saccharina latissima,,54.3527,-5.532969,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Saccharina latissima,,54.3859,-5.561508,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Saccharina latissima,,54.3865,-5.563424,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
Assis et al,,Saccharina latissima,,54.24335,-9.87784,,,"Westmeijer, G., Everaert, G., Pirlet, H., De Clerck, O., & Vandegehuchte, M.B. (2019) Mechanistic niche modelling to identify favorable growth sites of temperate macroalgae. Algal Research, 41, 101529.",
Assis et al,,Saccharina latissima,,55.007925,-8.508793,,,"Westmeijer, G., Everaert, G., Pirlet, H., De Clerck, O., & Vandegehuchte, M.B. (2019) Mechanistic niche modelling to identify favorable growth sites of temperate macroalgae. Algal Research, 41, 101529.",
Assis et al,,Saccharina latissima,,54.60063,-8.16321,,,"Westmeijer, G., Everaert, G., Pirlet, H., De Clerck, O., & Vandegehuchte, M.B. (2019) Mechanistic niche modelling to identify favorable growth sites of temperate macroalgae. Algal Research, 41, 101529.",
Assis et al,,Saccharina latissima,,52.12384,-10.26614,,,"Westmeijer, G., Everaert, G., Pirlet, H., De Clerck, O., & Vandegehuchte, M.B. (2019) Mechanistic niche modelling to identify favorable growth sites of temperate macroalgae. Algal Research, 41, 101529.",
Assis et al,,Saccharina latissima,,51.6105,-8.54566,,,"Westmeijer, G., Everaert, G., Pirlet, H., De Clerck, O., & Vandegehuchte, M.B. (2019) Mechanistic niche modelling to identify favorable growth sites of temperate macroalgae. Algal Research, 41, 101529.",
