Sheet,ID,Species,Location,latitude,longitude,biomass,size,source,Institution
SeasearchAJ,,Saccorhiza polyschides,Canty's Cove,51.52601979,-9.709875512,,,Seasearch,Seasearch
SeasearchAJ,,Saccorhiza polyschides,"South Sherky Island, north side Kenmare Bay",51.79083685,-9.894002674,,,Seasearch,Seasearch
SeasearchAJ,,Saccorhiza polyschides,"Gleesk, Kenmare Bay",51.79849689,-9.9420043,,,Seasearch,Seasearch
SeasearchAJ,,Saccorhiza polyschides,"Sherky Island Lagoon, Sneem Harbour, Kenmare Bay",51.79150167,-9.895500017,,,Seasearch,Seasearch
SeasearchAJ,,Saccorhiza polyschides,"Ardgroom Wreck, Kenmare Bay",51.76249744,-9.854667912,,,Seasearch,Seasearch
SeasearchAJ,,Saccorhiza polyschides,"Maiden Rock, Kenmare Bay",51.81366863,-9.795663254,,,Seasearch,Seasearch
SeasearchAJ,,Saccorhiza polyschides,Inishdooey Island,55.19333692,-8.160000546,,,Seasearch,Seasearch
SeasearchAJ,,Saccorhiza polyschides,"Ceann an Oileann, Mutton Island, Beafield, Quilty",52.80948274,-9.49533152,,,Seasearch,Seasearch
SeasearchAJ,,Saccorhiza polyschides,"Ceann an Oileann, Mutton Island, Quilty",52.80950057,-9.4953346,,,Seasearch,Seasearch
SeasearchAJ,,Saccorhiza polyschides,"Ceann an Oileann, Mutton Island, Quilty",52.80948274,-9.49533152,,,Seasearch,Seasearch
SeasearchAJ,,Saccorhiza polyschides,"Bullock Harbour, Scotsman's Bay, Dublin Bay,",53.28549994,-6.108328577,,,Seasearch,Seasearch
SeasearchAJ,,Saccorhiza polyschides,"Ceann an Oileann, Mutton Island, Quilty",52.80932936,-9.495334725,,,Seasearch,Seasearch
SeasearchAJ,,Saccorhiza polyschides,"Rough Island, Aranmore",55.00408311,-8.496973187,,,Seasearch,Seasearch
SeasearchAJ,,Saccorhiza polyschides,"Rathlin O' Burne Island, Malinbeg",54.66249857,-8.820158743,,,Seasearch,Seasearch
SeasearchAJ,,Saccorhiza polyschides,"Malin Beg Harbour, Gleann Cholm Cille, Donegal",54.66526472,-8.784193536,,,Seasearch,Seasearch
SeasearchAJ,,Saccorhiza polyschides,"Malinbeg Harbour, Malinberg, Donegal",54.66526472,-8.784193536,,,Seasearch,Seasearch
SeasearchAJ,,Saccorhiza polyschides,Cassan Pier,54.58558322,-8.426826608,,,Seasearch,Seasearch
SeasearchAJ,,Saccorhiza polyschides,"Solomon's Hole, Slade, Co. Wexford",52.13283041,-6.907246293,,,Seasearch,Seasearch
SeasearchAJ,,Saccorhiza polyschides,"Hook Lighthouse Gulley, Wexford",52.12274842,-6.927992724,,,Seasearch,Seasearch
SeasearchAJ,,Saccorhiza polyschides,"Lighthouse Gully, Hook Head",52.12275007,-6.928168336,,,Seasearch,Seasearch
SeasearchAJ,,Saccorhiza polyschides,"Lighthouse Gulley, Hook Head",52.12335433,-6.928995381,,,Seasearch,Seasearch
SeasearchAJ,,Saccorhiza polyschides,"Tony's Diamonds, south of Kilkee Harbour, Co. Clare",52.6750705,-9.684369084,,,Seasearch,Seasearch
